K   |  Accuracy
35  |  0.845454545455
37  |  0.845454545455
39  |  0.845454545455
9   |  0.840909090909
33  |  0.840909090909
31  |  0.840909090909
11  |  0.836363636364
25  |  0.831818181818
29  |  0.831818181818
13  |  0.827272727273
15  |  0.827272727273
17  |  0.827272727273
19  |  0.827272727273
21  |  0.827272727273
27  |  0.827272727273
5   |  0.822727272727
7   |  0.822727272727
23  |  0.822727272727
3   |  0.809090909091
1   |  0.804545454545
